USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 159852  9184 ?        Ss   Sep25   0:02 /sbin/init auto noprompt
root        492  0.0  0.0 158784   288 ?        Ssl  Sep25   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        512  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop9]
root        529  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop10]
root        541  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop11]
root        546  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop12]
root        551  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop13]
systemd+    554  0.0  0.1  70744  6124 ?        Ss   Sep25   0:00 /lib/systemd/systemd-resolved
root        555  0.0  0.2  88220  9656 ?        Ss   Sep25   0:00 /usr/bin/VGAuthService
systemd+    556  0.0  0.0 146108  3504 ?        Ssl  Sep25   0:00 /lib/systemd/systemd-timesyncd
root        559  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop14]
root        562  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop15]
root        581  0.0  0.0      0     0 ?        S<   Sep25   0:00 [loop16]
root        595  0.0  0.2 206616 11848 ?        Ssl  Sep25   0:20 /usr/bin/vmtoolsd
root        597  0.0  0.2 427260  9004 ?        Ssl  Sep25   0:00 /usr/sbin/ModemManager
root        598  0.0  0.0  38424  3176 ?        Ss   Sep25   0:00 /usr/sbin/cron -f
root        602  0.0  0.1 295008  7212 ?        Ssl  Sep25   0:00 /usr/lib/accountsservice/accounts-daemon
root        606  0.0  0.2 503324 10888 ?        Ssl  Sep25   0:00 /usr/lib/udisks2/udisksd
root        611  0.0  0.7 1159888 29088 ?       Ssl  Sep25   0:03 /usr/lib/snapd/snapd
root        612  0.0  0.0   4548   792 ?        Ss   Sep25   0:00 /usr/sbin/acpid
message+    613  0.0  0.1  51696  6168 ?        Rs   Sep25   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        622  0.0  0.4 567880 16960 ?        Ssl  Sep25   0:01 /usr/sbin/NetworkManager --no-daemon
root        624  0.0  0.1  70696  6056 ?        Ss   Sep25   0:00 /lib/systemd/systemd-logind
avahi       625  0.0  0.1  48776  5232 ?        Ss   Sep25   0:01 avahi-daemon: running [ubuntu.local]
avahi       630  0.0  0.0  47072   336 ?        S    Sep25   0:00 avahi-daemon: chroot helper
root        637  0.0  0.4 177632 17280 ?        Ssl  Sep25   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        641  0.0  0.1  45224  5424 ?        Ss   Sep25   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
syslog      646  0.0  0.1 263032  4916 ?        Ssl  Sep25   0:00 /usr/sbin/rsyslogd -n
root        653  0.0  0.0 110504  3464 ?        Ssl  Sep25   0:02 /usr/sbin/irqbalance --foreground
root        691  0.0  0.2 303328  9876 ?        Ssl  Sep25   0:01 /usr/lib/policykit-1/polkitd --no-debug
root        733  0.0  0.4 194320 20048 ?        Ssl  Sep25   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        740  0.0  0.2 308184  8144 ?        Ssl  Sep25   0:00 /usr/sbin/gdm3
root        741  0.0  0.1  72292  5640 ?        Ss   Sep25   0:00 /usr/sbin/sshd -D
root        745  0.0  0.2 261552  8656 ?        Sl   Sep25   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm         757  0.0  0.2  76920  8128 ?        Ss   Sep25   0:00 /lib/systemd/systemd --user
gdm         758  0.0  0.0 113968  2500 ?        S    Sep25   0:00 (sd-pam)
gdm         774  0.0  0.1 197796  5564 tty1     Ssl+ Sep25   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm         776  0.0  0.1  50352  4744 ?        Ss   Sep25   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm         778  0.0  0.3 558964 13760 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm         801  0.0  3.5 3377080 141652 tty1   Sl+  Sep25   0:08 /usr/bin/gnome-shell
root        836  0.0  0.2 322300  8712 ?        Ssl  Sep25   0:00 /usr/lib/upower/upowerd
gdm         947  0.2  1.3 411684 54268 tty1     Sl+  Sep25   1:33 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm        1018  0.0  0.1 349408  6412 ?        Ssl  Sep25   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm        1023  0.0  0.0  49924  3808 ?        S    Sep25   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm        1025  0.0  0.1 220760  6924 ?        Sl   Sep25   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm        1028  0.0  0.2 1229252 10888 ?       Ssl  Sep25   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit      1030  0.0  0.0 183500  2924 ?        SNsl Sep25   0:00 /usr/lib/rtkit/rtkit-daemon
gdm        1045  0.0  0.1 435096  7752 tty1     Sl   Sep25   0:00 ibus-daemon --xim --panel disable
whoopsie   1060  0.0  0.3 464304 12832 ?        Ssl  Sep25   0:00 /usr/bin/whoopsie -f
kernoops   1064  0.0  0.0  56936   420 ?        Ss   Sep25   0:00 /usr/sbin/kerneloops --test
kernoops   1067  0.0  0.0  56936   420 ?        Ss   Sep25   0:00 /usr/sbin/kerneloops
gdm        1132  0.0  0.1 280744  5848 tty1     Sl   Sep25   0:00 /usr/lib/ibus/ibus-dconf
gdm        1135  0.0  1.2 493788 50348 tty1     Sl   Sep25   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm        1139  0.0  0.1 278556  6040 ?        Sl   Sep25   0:00 /usr/lib/ibus/ibus-portal
root       1147  0.0  0.1 296868  6776 ?        Ssl  Sep25   0:00 /usr/lib/x86_64-linux-gnu/boltd
root       1154  0.0  1.5 522764 60620 ?        Ssl  Sep25   0:08 /usr/lib/packagekit/packagekitd
gdm        1155  0.0  1.2 643704 51320 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm        1161  0.0  0.1 278156  5788 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm        1162  0.0  1.2 493424 49736 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm        1165  0.0  1.2 808580 51728 tty1     Sl+  Sep25   0:03 /usr/lib/gnome-settings-daemon/gsd-color
gdm        1166  0.0  0.3 393704 13660 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm        1167  0.0  0.1 283740  5144 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
